county,muni,reporting_unit_name,congressional_district,senate_district,assembly_district,leah_vukmir_rep,tammy_baldwin_dem,mary_jo_walters_write_in_ind,john_schiess_write_in_ind,scattering,race
FLORENCE,Town of COMMONWEALTH,Town of COMMONWEALTH Wards 1-3,Congressional - District 7,State Senate - District 12,Assembly - District 34,127,63,0,0,0,US senator
FLORENCE,Town of FENCE,Town of FENCE Ward 1,Congressional - District 7,State Senate - District 12,Assembly - District 34,72,31,0,0,0,US senator
FLORENCE,Town of FERN,Town of FERN Ward 1,Congressional - District 7,State Senate - District 12,Assembly - District 34,81,32,0,0,0,US senator
FLORENCE,Town of FLORENCE,Town of FLORENCE Wards 1-7,Congressional - District 7,State Senate - District 12,Assembly - District 34,610,345,0,0,0,US senator
FLORENCE,Town of HOMESTEAD,Town of HOMESTEAD Ward 1,Congressional - District 7,State Senate - District 12,Assembly - District 34,142,58,0,0,0,US senator
FLORENCE,Town of LONG LAKE,Town of LONG LAKE Ward 1,Congressional - District 7,State Senate - District 12,Assembly - District 34,61,30,0,0,0,US senator
FLORENCE,Town of TIPLER,Town of TIPLER Ward 1,Congressional - District 7,State Senate - District 12,Assembly - District 34,68,16,0,0,0,US senator
FOND DU LAC,Town of ALTO,Town of ALTO Wards 1-2,Congressional - District 6,State Senate - District 14,Assembly - District 42,422,114,0,0,0,US senator
FOND DU LAC,Town of ASHFORD,Town of ASHFORD Wards 1-3,Congressional - District 6,State Senate - District 20,Assembly - District 59,632,239,0,0,0,US senator
FOND DU LAC,Town of AUBURN,Town of AUBURN Wards 1-3,Congressional - District 6,State Senate - District 20,Assembly - District 59,972,312,0,0,0,US senator
FOND DU LAC,Town of BYRON,Town of BYRON Wards 1-2,Congressional - District 6,State Senate - District 18,Assembly - District 52,581,282,0,0,0,US senator
FOND DU LAC,Town of CALUMET,Town of CALUMET Ward 1,Congressional - District 6,State Senate - District 18,Assembly - District 52,281,174,0,0,1,US senator
FOND DU LAC,Town of CALUMET,Town of CALUMET Ward 2,Congressional - District 6,State Senate - District 20,Assembly - District 59,191,101,0,0,0,US senator
FOND DU LAC,Town of EDEN,Town of EDEN Wards 1-2,Congressional - District 6,State Senate - District 20,Assembly - District 59,398,146,0,0,1,US senator
FOND DU LAC,Town of ELDORADO,Town of ELDORADO Wards 1-3,Congressional - District 6,State Senate - District 18,Assembly - District 53,483,245,0,0,0,US senator
FOND DU LAC,Town of EMPIRE,Town of EMPIRE Wards 1-4,Congressional - District 6,State Senate - District 18,Assembly - District 52,980,620,0,0,2,US senator
FOND DU LAC,Town of FOND DU LAC,Town of FOND DU LAC Wards 1-8,Congressional - District 6,State Senate - District 18,Assembly - District 52,1080,772,0,0,0,US senator
FOND DU LAC,Town of FOND DU LAC,Town of FOND DU LAC Ward 1A,Congressional - District 6,State Senate - District 18,Assembly - District 53,0,0,0,0,0,US senator
FOND DU LAC,Town of FOREST,Town of FOREST Wards 1-2,Congressional - District 6,State Senate - District 20,Assembly - District 59,422,153,0,0,0,US senator
FOND DU LAC,Town of FRIENDSHIP,Town of FRIENDSHIP Wards 1-3,Congressional - District 6,State Senate - District 18,Assembly - District 53,683,477,0,0,3,US senator
FOND DU LAC,Town of LAMARTINE,Town of LAMARTINE Wards 1-2,Congressional - District 6,State Senate - District 18,Assembly - District 53,588,322,0,0,1,US senator
FOND DU LAC,Town of MARSHFIELD,Town of MARSHFIELD Wards 1-2,Congressional - District 6,State Senate - District 20,Assembly - District 59,395,199,0,0,0,US senator
FOND DU LAC,Town of METOMEN,Town of METOMEN Wards 1-2,Congressional - District 6,State Senate - District 14,Assembly - District 42,245,107,0,0,0,US senator
FOND DU LAC,Town of OAKFIELD,Town of OAKFIELD Wards 1-2,Congressional - District 6,State Senate - District 18,Assembly - District 52,209,116,0,0,1,US senator
FOND DU LAC,Town of OSCEOLA,Town of OSCEOLA Wards 1-2,Congressional - District 6,State Senate - District 20,Assembly - District 59,672,279,0,0,0,US senator
FOND DU LAC,Town of RIPON,Town of RIPON Wards 1-2,Congressional - District 6,State Senate - District 14,Assembly - District 41,409,302,0,1,0,US senator
FOND DU LAC,Town of ROSENDALE,Town of ROSENDALE Ward 1,Congressional - District 6,State Senate - District 18,Assembly - District 53,238,120,0,0,0,US senator
FOND DU LAC,Town of SPRINGVALE,Town of SPRINGVALE Ward 1,Congressional - District 6,State Senate - District 18,Assembly - District 53,230,115,0,0,0,US senator
FOND DU LAC,Town of TAYCHEEDAH,Town of TAYCHEEDAH Wards 1-5,Congressional - District 6,State Senate - District 18,Assembly - District 52,1630,929,0,0,3,US senator
FOND DU LAC,Town of WAUPUN,Town of WAUPUN Wards 1-2,Congressional - District 6,State Senate - District 18,Assembly - District 53,462,246,0,0,0,US senator
FOND DU LAC,Village of BRANDON,Village of BRANDON Ward 1,Congressional - District 6,State Senate - District 14,Assembly - District 42,226,131,0,0,1,US senator
FOND DU LAC,Village of CAMPBELLSPORT,Village of CAMPBELLSPORT Wards 1-4,Congressional - District 6,State Senate - District 20,Assembly - District 59,535,265,0,0,2,US senator
FOND DU LAC,Village of EDEN,Village of EDEN Ward 1,Congressional - District 6,State Senate - District 20,Assembly - District 59,208,111,0,0,1,US senator
FOND DU LAC,Village of FAIRWATER,Village of FAIRWATER Ward 1,Congressional - District 6,State Senate - District 14,Assembly - District 42,81,49,0,0,0,US senator
FOND DU LAC,VILLAGE OF KEWASKUM,VILLAGE OF KEWASKUM Ward 6,Congressional - District 6,State Senate - District 20,Assembly - District 59,0,0,0,0,0,US senator
FOND DU LAC,Village of MOUNT CALVARY,Village of MOUNT CALVARY Ward 1,Congressional - District 6,State Senate - District 20,Assembly - District 59,167,105,0,0,0,US senator
FOND DU LAC,Village of NORTH FOND DU LAC,Village of NORTH FOND DU LAC Wards 1-7,Congressional - District 6,State Senate - District 18,Assembly - District 53,920,1013,0,0,2,US senator
FOND DU LAC,Village of OAKFIELD,Village of OAKFIELD Wards 1-2,Congressional - District 6,State Senate - District 18,Assembly - District 52,292,218,0,0,0,US senator
FOND DU LAC,Village of ROSENDALE,Village of ROSENDALE Wards 1-2,Congressional - District 6,State Senate - District 18,Assembly - District 53,309,187,0,0,1,US senator
FOND DU LAC,Village of ST. CLOUD,Village of ST. CLOUD Ward 1,Congressional - District 6,State Senate - District 20,Assembly - District 59,177,81,0,0,0,US senator
FOND DU LAC,City of FOND DU LAC,City of FOND DU LAC Ward 1,Congressional - District 6,State Senate - District 18,Assembly - District 52,287,298,0,0,1,US senator
FOND DU LAC,City of FOND DU LAC,City of FOND DU LAC Ward 2,Congressional - District 6,State Senate - District 18,Assembly - District 52,208,257,0,0,0,US senator
FOND DU LAC,City of FOND DU LAC,City of FOND DU LAC Ward 3,Congressional - District 6,State Senate - District 18,Assembly - District 52,447,461,0,0,0,US senator
FOND DU LAC,City of FOND DU LAC,City of FOND DU LAC Ward 4,Congressional - District 6,State Senate - District 18,Assembly - District 52,250,310,0,0,3,US senator
FOND DU LAC,City of FOND DU LAC,City of FOND DU LAC Ward 5,Congressional - District 6,State Senate - District 18,Assembly - District 52,469,565,0,0,2,US senator
FOND DU LAC,City of FOND DU LAC,City of FOND DU LAC Ward 6,Congressional - District 6,State Senate - District 18,Assembly - District 52,365,388,0,0,1,US senator
FOND DU LAC,City of FOND DU LAC,City of FOND DU LAC Ward 7,Congressional - District 6,State Senate - District 18,Assembly - District 52,269,314,0,0,0,US senator
FOND DU LAC,City of FOND DU LAC,City of FOND DU LAC Ward 8,Congressional - District 6,State Senate - District 18,Assembly - District 52,353,396,0,0,2,US senator
FOND DU LAC,City of FOND DU LAC,City of FOND DU LAC Ward 9,Congressional - District 6,State Senate - District 18,Assembly - District 52,234,312,0,0,0,US senator
FOND DU LAC,City of FOND DU LAC,City of FOND DU LAC Ward 10,Congressional - District 6,State Senate - District 18,Assembly - District 52,398,389,0,0,1,US senator
FOND DU LAC,City of FOND DU LAC,City of FOND DU LAC Ward 11,Congressional - District 6,State Senate - District 18,Assembly - District 52,190,251,0,0,0,US senator
FOND DU LAC,City of FOND DU LAC,City of FOND DU LAC Ward 12,Congressional - District 6,State Senate - District 18,Assembly - District 52,318,438,0,0,0,US senator
FOND DU LAC,City of FOND DU LAC,City of FOND DU LAC Ward 13,Congressional - District 6,State Senate - District 18,Assembly - District 52,189,233,0,0,0,US senator
FOND DU LAC,City of FOND DU LAC,City of FOND DU LAC Ward 14,Congressional - District 6,State Senate - District 18,Assembly - District 52,439,412,0,0,0,US senator
FOND DU LAC,City of FOND DU LAC,City of FOND DU LAC Ward 15,Congressional - District 6,State Senate - District 18,Assembly - District 52,356,248,0,0,1,US senator
FOND DU LAC,City of FOND DU LAC,City of FOND DU LAC Ward 16,Congressional - District 6,State Senate - District 18,Assembly - District 52,271,286,0,0,0,US senator
FOND DU LAC,City of FOND DU LAC,City of FOND DU LAC Ward 17,Congressional - District 6,State Senate - District 18,Assembly - District 52,81,70,0,0,0,US senator
FOND DU LAC,City of FOND DU LAC,City of FOND DU LAC Ward 18,Congressional - District 6,State Senate - District 18,Assembly - District 52,42,24,0,0,0,US senator
FOND DU LAC,City of FOND DU LAC,City of FOND DU LAC Ward 19,Congressional - District 6,State Senate - District 18,Assembly - District 52,290,329,0,0,0,US senator
FOND DU LAC,City of FOND DU LAC,City of FOND DU LAC Ward 20,Congressional - District 6,State Senate - District 18,Assembly - District 52,0,0,0,0,0,US senator
FOND DU LAC,City of FOND DU LAC,City of FOND DU LAC Ward 21,Congressional - District 6,State Senate - District 18,Assembly - District 52,356,427,0,0,0,US senator
FOND DU LAC,City of FOND DU LAC,City of FOND DU LAC Ward 22,Congressional - District 6,State Senate - District 18,Assembly - District 52,514,421,0,0,0,US senator
FOND DU LAC,City of FOND DU LAC,City of FOND DU LAC Ward 23,Congressional - District 6,State Senate - District 18,Assembly - District 52,577,450,0,0,0,US senator
FOND DU LAC,City of FOND DU LAC,City of FOND DU LAC Ward 24,Congressional - District 6,State Senate - District 18,Assembly - District 52,515,481,0,0,0,US senator
FOND DU LAC,City of FOND DU LAC,City of FOND DU LAC Ward 25,Congressional - District 6,State Senate - District 18,Assembly - District 52,697,497,0,0,2,US senator
FOND DU LAC,City of FOND DU LAC,City of FOND DU LAC Ward 26,Congressional - District 6,State Senate - District 18,Assembly - District 52,1,0,0,0,0,US senator
FOND DU LAC,City of FOND DU LAC,City of FOND DU LAC Ward 27,Congressional - District 6,State Senate - District 18,Assembly - District 52,0,0,0,0,0,US senator
FOND DU LAC,City of FOND DU LAC,City of FOND DU LAC Ward 28,Congressional - District 6,State Senate - District 18,Assembly - District 52,0,0,0,0,0,US senator
FOND DU LAC,City of FOND DU LAC,City of FOND DU LAC Ward 29,Congressional - District 6,State Senate - District 18,Assembly - District 52,0,0,0,0,0,US senator
FOND DU LAC,City of FOND DU LAC,City of FOND DU LAC Ward 30,Congressional - District 6,State Senate - District 18,Assembly - District 52,0,0,0,0,0,US senator
FOND DU LAC,City of FOND DU LAC,City of FOND DU LAC Ward 31,Congressional - District 6,State Senate - District 18,Assembly - District 52,0,0,0,0,0,US senator
FOND DU LAC,City of RIPON,City of RIPON Wards 1-3,Congressional - District 6,State Senate - District 14,Assembly - District 41,375,367,0,0,2,US senator
FOND DU LAC,City of RIPON,City of RIPON Wards 4-6,Congressional - District 6,State Senate - District 14,Assembly - District 41,278,424,0,0,2,US senator
FOND DU LAC,City of RIPON,City of RIPON Wards 7-8,Congressional - District 6,State Senate - District 14,Assembly - District 41,307,393,0,0,1,US senator
FOND DU LAC,City of RIPON,City of RIPON Wards 9-11,Congressional - District 6,State Senate - District 14,Assembly - District 41,407,498,0,0,1,US senator
FOND DU LAC,CITY OF WAUPUN,CITY OF WAUPUN Wards 9-12,Congressional - District 6,State Senate - District 18,Assembly - District 53,895,596,0,0,2,US senator
FOND DU LAC,CITY OF WAUPUN,CITY OF WAUPUN Ward 9B,Congressional - District 6,State Senate - District 14,Assembly - District 42,0,0,0,0,0,US senator
FOREST,Town of ALVIN,Town of ALVIN Ward 1,Congressional - District 7,State Senate - District 12,Assembly - District 34,53,31,0,0,0,US senator
FOREST,Town of ARGONNE,Town of ARGONNE Wards 1-3,Congressional - District 7,State Senate - District 12,Assembly - District 34,124,94,0,0,0,US senator
FOREST,Town of ARMSTRONG CREEK,Town of ARMSTRONG CREEK Ward 1,Congressional - District 7,State Senate - District 12,Assembly - District 34,123,100,0,0,0,US senator
FOREST,Town of BLACKWELL,Town of BLACKWELL Ward 1,Congressional - District 7,State Senate - District 12,Assembly - District 36,44,29,0,0,0,US senator
FOREST,Town of CASWELL,Town of CASWELL Ward 1,Congressional - District 7,State Senate - District 12,Assembly - District 34,28,17,0,0,0,US senator
FOREST,Town of CRANDON,Town of CRANDON Wards 1-3,Congressional - District 7,State Senate - District 12,Assembly - District 34,132,146,0,0,0,US senator
FOREST,Town of FREEDOM,Town of FREEDOM Ward 1,Congressional - District 7,State Senate - District 12,Assembly - District 36,115,102,0,0,0,US senator
FOREST,Town of HILES,Town of HILES Ward 1,Congressional - District 7,State Senate - District 12,Assembly - District 34,129,95,0,0,0,US senator
FOREST,Town of LAONA,Town of LAONA Wards 1-3,Congressional - District 7,State Senate - District 12,Assembly - District 36,237,236,0,0,0,US senator
FOREST,Town of LINCOLN,Town of LINCOLN Wards 1-3,Congressional - District 7,State Senate - District 12,Assembly - District 36,235,235,0,0,0,US senator
FOREST,Town of NASHVILLE,Town of NASHVILLE Ward 1,Congressional - District 7,State Senate - District 12,Assembly - District 36,118,61,0,0,0,US senator
FOREST,Town of NASHVILLE,Town of NASHVILLE Ward 2,Congressional - District 7,State Senate - District 12,Assembly - District 36,24,129,0,0,0,US senator
FOREST,Town of NASHVILLE,Town of NASHVILLE Ward 3,Congressional - District 7,State Senate - District 12,Assembly - District 36,117,87,0,0,0,US senator
FOREST,Town of POPPLE RIVER,Town of POPPLE RIVER Ward 1,Congressional - District 7,State Senate - District 12,Assembly - District 34,10,9,0,0,1,US senator
FOREST,Town of ROSS,Town of ROSS Ward 1,Congressional - District 7,State Senate - District 12,Assembly - District 34,34,23,0,0,0,US senator
FOREST,Town of WABENO,Town of WABENO Wards 1-5,Congressional - District 7,State Senate - District 12,Assembly - District 36,174,204,0,0,1,US senator
FOREST,City of CRANDON,City of CRANDON Wards 1-4,Congressional - District 7,State Senate - District 12,Assembly - District 36,365,281,0,0,1,US senator
GRANT,Town of BEETOWN,Town of BEETOWN Ward 1,Congressional - District 3,State Senate - District 17,Assembly - District 49,160,93,0,0,0,US senator
GRANT,Town of BLOOMINGTON,Town of BLOOMINGTON Ward 1,Congressional - District 3,State Senate - District 17,Assembly - District 49,83,56,0,0,0,US senator
GRANT,Town of BOSCOBEL,Town of BOSCOBEL Wards 1-2,Congressional - District 3,State Senate - District 17,Assembly - District 49,72,77,0,0,0,US senator
GRANT,Town of CASSVILLE,Town of CASSVILLE Ward 1,Congressional - District 3,State Senate - District 17,Assembly - District 49,89,55,0,0,0,US senator
GRANT,Town of CASTLE ROCK,Town of CASTLE ROCK Ward 1,Congressional - District 3,State Senate - District 17,Assembly - District 49,69,62,0,0,0,US senator
GRANT,Town of CLIFTON,Town of CLIFTON Wards 1-2,Congressional - District 3,State Senate - District 17,Assembly - District 49,57,57,0,0,0,US senator
GRANT,Town of ELLENBORO,Town of ELLENBORO Ward 1,Congressional - District 3,State Senate - District 17,Assembly - District 49,146,103,0,0,0,US senator
GRANT,Town of FENNIMORE,Town of FENNIMORE Wards 1-2,Congressional - District 3,State Senate - District 17,Assembly - District 49,94,102,0,0,0,US senator
GRANT,Town of GLEN HAVEN,Town of GLEN HAVEN Ward 1,Congressional - District 3,State Senate - District 17,Assembly - District 49,78,55,0,0,0,US senator
GRANT,Town of HARRISON,Town of HARRISON Ward 1,Congressional - District 3,State Senate - District 17,Assembly - District 49,124,92,0,0,0,US senator
GRANT,Town of HAZEL GREEN,Town of HAZEL GREEN Wards 1-2,Congressional - District 3,State Senate - District 17,Assembly - District 49,223,315,0,0,0,US senator
GRANT,Town of HICKORY GROVE,Town of HICKORY GROVE Ward 1,Congressional - District 3,State Senate - District 17,Assembly - District 49,88,71,0,0,0,US senator
GRANT,Town of JAMESTOWN,Town of JAMESTOWN Wards 1-3,Congressional - District 3,State Senate - District 17,Assembly - District 49,480,393,0,0,3,US senator
GRANT,Town of LIBERTY,Town of LIBERTY Ward 1,Congressional - District 3,State Senate - District 17,Assembly - District 49,132,67,0,0,0,US senator
GRANT,Town of LIMA,Town of LIMA Ward 1,Congressional - District 3,State Senate - District 17,Assembly - District 49,141,162,0,0,0,US senator
GRANT,Town of LITTLE GRANT,Town of LITTLE GRANT Ward 1,Congressional - District 3,State Senate - District 17,Assembly - District 49,69,45,0,0,0,US senator
GRANT,Town of MARION,Town of MARION Ward 1,Congressional - District 3,State Senate - District 17,Assembly - District 49,99,84,0,0,0,US senator
GRANT,Town of MILLVILLE,Town of MILLVILLE Ward 1,Congressional - District 3,State Senate - District 17,Assembly - District 49,32,48,0,0,0,US senator
GRANT,Town of MOUNT HOPE,Town of MOUNT HOPE Ward 1,Congressional - District 3,State Senate - District 17,Assembly - District 49,49,30,0,0,0,US senator
GRANT,Town of MOUNT IDA,Town of MOUNT IDA Ward 1,Congressional - District 3,State Senate - District 17,Assembly - District 49,107,101,0,0,0,US senator
GRANT,Town of MUSCODA,Town of MUSCODA Ward 1,Congressional - District 3,State Senate - District 17,Assembly - District 49,135,111,0,0,0,US senator
GRANT,Town of NORTH LANCASTER,Town of NORTH LANCASTER Wards 1-2,Congressional - District 3,State Senate - District 17,Assembly - District 49,133,91,0,0,0,US senator
GRANT,Town of PARIS,Town of PARIS Wards 1-2,Congressional - District 3,State Senate - District 17,Assembly - District 49,175,122,0,0,0,US senator
GRANT,Town of PATCH GROVE,Town of PATCH GROVE Ward 1,Congressional - District 3,State Senate - District 17,Assembly - District 49,52,64,0,0,0,US senator
GRANT,Town of PLATTEVILLE,Town of PLATTEVILLE Wards 1-3,Congressional - District 3,State Senate - District 17,Assembly - District 49,313,380,0,0,0,US senator
GRANT,Town of POTOSI,Town of POTOSI Ward 1,Congressional - District 3,State Senate - District 17,Assembly - District 49,174,179,0,0,0,US senator
GRANT,Town of SMELSER,Town of SMELSER Wards 1-2,Congressional - District 3,State Senate - District 17,Assembly - District 49,193,184,0,0,0,US senator
GRANT,Town of SOUTH LANCASTER,Town of SOUTH LANCASTER Wards 1-3,Congressional - District 3,State Senate - District 17,Assembly - District 49,137,133,0,0,0,US senator
GRANT,Town of WATERLOO,Town of WATERLOO Ward 1,Congressional - District 3,State Senate - District 17,Assembly - District 49,114,95,0,0,0,US senator
GRANT,Town of WATTERSTOWN,Town of WATTERSTOWN Wards 1-2,Congressional - District 3,State Senate - District 17,Assembly - District 49,73,83,0,0,0,US senator
GRANT,Town of WINGVILLE,Town of WINGVILLE Ward 1,Congressional - District 3,State Senate - District 17,Assembly - District 49,64,84,0,0,0,US senator
GRANT,Town of WOODMAN,Town of WOODMAN Ward 1,Congressional - District 3,State Senate - District 17,Assembly - District 49,32,33,0,0,0,US senator
GRANT,Town of WYALUSING,Town of WYALUSING Ward 1,Congressional - District 3,State Senate - District 17,Assembly - District 49,74,83,0,0,0,US senator
GRANT,Village of BAGLEY,Village of BAGLEY Ward 1,Congressional - District 3,State Senate - District 17,Assembly - District 49,55,92,0,0,0,US senator
GRANT,Village of BLOOMINGTON,Village of BLOOMINGTON Ward 1,Congressional - District 3,State Senate - District 17,Assembly - District 49,138,134,0,0,0,US senator
GRANT,Village of BLUE RIVER,Village of BLUE RIVER Ward 1,Congressional - District 3,State Senate - District 17,Assembly - District 49,67,96,0,0,0,US senator
GRANT,Village of CASSVILLE,Village of CASSVILLE Wards 1-2,Congressional - District 3,State Senate - District 17,Assembly - District 49,142,192,0,0,0,US senator
GRANT,Village of DICKEYVILLE,Village of DICKEYVILLE Wards 1-2,Congressional - District 3,State Senate - District 17,Assembly - District 49,197,223,0,0,0,US senator
GRANT,Village of HAZEL GREEN,Village of HAZEL GREEN Wards 1-2,Congressional - District 3,State Senate - District 17,Assembly - District 49,178,282,0,0,0,US senator
GRANT,Village of LIVINGSTON,Village of LIVINGSTON Ward 1,Congressional - District 3,State Senate - District 17,Assembly - District 49,108,151,0,0,0,US senator
GRANT,Village of MONTFORT,Village of MONTFORT Ward 1,Congressional - District 3,State Senate - District 17,Assembly - District 49,88,145,0,0,0,US senator
GRANT,Village of MOUNT HOPE,Village of MOUNT HOPE Ward 1,Congressional - District 3,State Senate - District 17,Assembly - District 49,27,30,0,0,0,US senator
GRANT,Village of MUSCODA,Village of MUSCODA Wards 1-2,Congressional - District 3,State Senate - District 17,Assembly - District 49,181,238,0,0,0,US senator
GRANT,Village of PATCH GROVE,Village of PATCH GROVE Ward 1,Congressional - District 3,State Senate - District 17,Assembly - District 49,26,37,0,0,0,US senator
GRANT,Village of POTOSI,Village of POTOSI Ward 1,Congressional - District 3,State Senate - District 17,Assembly - District 49,127,152,0,0,0,US senator
GRANT,Village of TENNYSON,Village of TENNYSON Ward 1,Congressional - District 3,State Senate - District 17,Assembly - District 49,60,74,0,0,0,US senator
GRANT,Village of WOODMAN,Village of WOODMAN Ward 1,Congressional - District 3,State Senate - District 17,Assembly - District 49,23,11,0,0,0,US senator
GRANT,City of BOSCOBEL,City of BOSCOBEL Wards 1-4,Congressional - District 3,State Senate - District 17,Assembly - District 49,394,614,0,0,1,US senator
GRANT,City of CUBA CITY,City of CUBA CITY Wards 1-4,Congressional - District 3,State Senate - District 17,Assembly - District 49,283,428,0,0,1,US senator
GRANT,City of FENNIMORE,City of FENNIMORE Wards 1-4,Congressional - District 3,State Senate - District 17,Assembly - District 49,375,522,0,0,0,US senator
GRANT,City of LANCASTER,City of LANCASTER Wards 1-6,Congressional - District 3,State Senate - District 17,Assembly - District 49,658,729,0,0,0,US senator
GRANT,City of PLATTEVILLE,City of PLATTEVILLE Wards 1-2,Congressional - District 3,State Senate - District 17,Assembly - District 49,395,807,0,0,0,US senator
GRANT,City of PLATTEVILLE,City of PLATTEVILLE Wards 3-4,Congressional - District 3,State Senate - District 17,Assembly - District 49,375,596,0,0,1,US senator
GRANT,City of PLATTEVILLE,City of PLATTEVILLE Wards 5-6,Congressional - District 3,State Senate - District 17,Assembly - District 49,385,474,0,0,0,US senator
GRANT,City of PLATTEVILLE,City of PLATTEVILLE Wards 7-9,Congressional - District 3,State Senate - District 17,Assembly - District 49,517,817,0,0,0,US senator
GREEN,Town of ADAMS,Town of ADAMS Ward 1,Congressional - District 2,State Senate - District 27,Assembly - District 80,115,162,0,0,0,US senator
GREEN,Town of ALBANY,Town of ALBANY Wards 1-2,Congressional - District 2,State Senate - District 15,Assembly - District 45,266,327,0,0,0,US senator
GREEN,Town of BROOKLYN,Town of BROOKLYN Wards 1-3,Congressional - District 2,State Senate - District 27,Assembly - District 80,279,376,0,0,0,US senator
GREEN,Town of CADIZ,Town of CADIZ Ward 1,Congressional - District 2,State Senate - District 17,Assembly - District 51,195,200,0,0,0,US senator
GREEN,Town of CLARNO,Town of CLARNO Wards 1-2,Congressional - District 2,State Senate - District 17,Assembly - District 51,284,283,0,0,0,US senator
GREEN,Town of DECATUR,Town of DECATUR Wards 1-3,Congressional - District 2,State Senate - District 15,Assembly - District 45,375,489,0,0,0,US senator
GREEN,Town of EXETER,Town of EXETER Wards 1-4,Congressional - District 2,State Senate - District 27,Assembly - District 80,365,725,0,0,3,US senator
GREEN,Town of JEFFERSON,Town of JEFFERSON Wards 1-2,Congressional - District 2,State Senate - District 15,Assembly - District 45,303,247,0,0,1,US senator
GREEN,Town of JORDAN,Town of JORDAN Ward 1,Congressional - District 2,State Senate - District 17,Assembly - District 51,127,147,0,0,2,US senator
GREEN,Town of MONROE,Town of MONROE Wards 1-2,Congressional - District 2,State Senate - District 17,Assembly - District 51,293,308,0,0,2,US senator
GREEN,Town of MOUNT PLEASANT,Town of MOUNT PLEASANT Ward 1,Congressional - District 2,State Senate - District 27,Assembly - District 80,54,77,0,0,0,US senator
GREEN,Town of MOUNT PLEASANT,Town of MOUNT PLEASANT Wards 2-3,Congressional - District 2,State Senate - District 15,Assembly - District 45,64,124,0,0,0,US senator
GREEN,Town of NEW GLARUS,Town of NEW GLARUS Wards 1-2,Congressional - District 2,State Senate - District 27,Assembly - District 80,294,474,0,0,0,US senator
GREEN,Town of SPRING GROVE,Town of SPRING GROVE Ward 1,Congressional - District 2,State Senate - District 15,Assembly - District 45,241,194,0,0,0,US senator
GREEN,Town of SYLVESTER,Town of SYLVESTER Wards 1-2,Congressional - District 2,State Senate - District 15,Assembly - District 45,273,251,0,0,0,US senator
GREEN,Town of WASHINGTON,Town of WASHINGTON Ward 1,Congressional - District 2,State Senate - District 27,Assembly - District 80,158,238,0,0,0,US senator
GREEN,Town of YORK,Town of YORK Ward 1,Congressional - District 2,State Senate - District 27,Assembly - District 80,187,329,0,0,2,US senator
GREEN,Village of ALBANY,Village of ALBANY Wards 1-2,Congressional - District 2,State Senate - District 15,Assembly - District 45,118,275,0,0,0,US senator
GREEN,VILLAGE OF BELLEVILLE,VILLAGE OF BELLEVILLE Ward 3,Congressional - District 2,State Senate - District 27,Assembly - District 80,69,178,0,0,0,US senator
GREEN,VILLAGE OF BROOKLYN,VILLAGE OF BROOKLYN Ward 2,Congressional - District 2,State Senate - District 27,Assembly - District 80,62,152,0,0,0,US senator
GREEN,Village of BROWNTOWN,Village of BROWNTOWN Ward 1,Congressional - District 2,State Senate - District 17,Assembly - District 51,45,48,0,0,0,US senator
GREEN,Village of MONTICELLO,Village of MONTICELLO Wards 1-2,Congressional - District 2,State Senate - District 27,Assembly - District 80,169,387,0,0,0,US senator
GREEN,Village of NEW GLARUS,Village of NEW GLARUS Wards 1-4,Congressional - District 2,State Senate - District 27,Assembly - District 80,298,862,0,0,0,US senator
GREEN,City of BRODHEAD,City of BRODHEAD Wards 1-6,Congressional - District 2,State Senate - District 15,Assembly - District 45,472,665,0,0,0,US senator
GREEN,City of MONROE,City of MONROE Wards 1-9,Congressional - District 2,State Senate - District 17,Assembly - District 51,1626,2776,0,0,1,US senator
GREEN,City of MONROE,City of MONROE Ward 10,Congressional - District 2,State Senate - District 15,Assembly - District 45,0,0,0,0,0,US senator
GREEN LAKE,Town of BERLIN,Town of BERLIN Wards 1-3,Congressional - District 6,State Senate - District 14,Assembly - District 41,405,186,0,0,0,US senator
GREEN LAKE,Town of BROOKLYN,Town of BROOKLYN Wards 1-3,Congressional - District 6,State Senate - District 14,Assembly - District 41,647,429,0,0,0,US senator
GREEN LAKE,Town of GREEN LAKE,Town of GREEN LAKE Wards 1-2,Congressional - District 6,State Senate - District 14,Assembly - District 41,445,196,0,0,0,US senator
GREEN LAKE,Town of KINGSTON,Town of KINGSTON Wards 1-2,Congressional - District 6,State Senate - District 14,Assembly - District 42,174,78,0,0,0,US senator
GREEN LAKE,Town of MACKFORD,Town of MACKFORD Ward 1,Congressional - District 6,State Senate - District 14,Assembly - District 41,187,54,0,0,0,US senator
GREEN LAKE,Town of MANCHESTER,Town of MANCHESTER Ward 1,Congressional - District 6,State Senate - District 14,Assembly - District 42,212,96,0,0,0,US senator
GREEN LAKE,Town of MARQUETTE,Town of MARQUETTE Ward 1,Congressional - District 6,State Senate - District 14,Assembly - District 41,145,84,0,0,0,US senator
GREEN LAKE,Town of PRINCETON,Town of PRINCETON Wards 1-4,Congressional - District 6,State Senate - District 14,Assembly - District 41,477,324,0,0,2,US senator
GREEN LAKE,Town of ST. MARIE,Town of ST. MARIE Wards 1-2,Congressional - District 6,State Senate - District 14,Assembly - District 41,128,77,0,0,0,US senator
GREEN LAKE,Town of SENECA,Town of SENECA Ward 1,Congressional - District 6,State Senate - District 14,Assembly - District 41,103,80,0,0,0,US senator
