office,votes,candidate,party
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 76,36891,Chris Taylor,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 76,0,Thomas Leager (write-in),Libertarian
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 77,29741,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 77,29347,Shelia Stubbs,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 78,30639,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 78,30044,Lisa Subeck,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 79,28776,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 79,28079,Dianne Hesselbein,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 80,26808,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 80,26189,Sondy Pope,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 81,20038,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 81,19766,Dave Considine,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 82,26538,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 82,18039,Ken Skowronski,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 82,8300,Jason J. Sellnow,Libertarian
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 83,31998,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 83,22351,Chuck Wichgers,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 83,9624,Jim Brownlow,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 84,29047,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 84,16684,Mike Kuglitsch,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 84,12341,Erica Flynn,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 85,24962,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 85,13791,Patrick Snyder,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 85,11150,Alyson Leahy,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 86,28717,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 86,17174,John Spiros,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 86,10575,Nancy Stencil,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 86,945,Michael A. Tauschek,Independent
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 87,23719,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 87,15682,James W. Edming,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 87,8027,Elizabeth Riley,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 88,27440,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 88,14628,John Macco,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 88,12793,Tom Sieber,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 89,25565,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 89,17091,John Nygren,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 89,8461,Ken Holdorf,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 90,13487,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 90,12994,Staush Gruszynski,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 91,26347,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 91,8798,Echo Reardon,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 91,17512,Jodi Emerson,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 92,23499,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 92,12955,Treig E. Pronschinske,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 92,10537,Rob Grover,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 93,27381,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 93,15935,Warren Petryk,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 93,11435,Charlene Charlie Warner,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 94,29065,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 94,11567,Albert Rohland,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 94,17498,Steve Doyle,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 95,21989,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 95,21989,Jill Billings,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 96,23866,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 96,12327,Loren Oldenburg,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 96,11536,Paul Buhr,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 97,19729,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 97,18945,Scott Allen,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 98,23689,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 98,23005,Adam Neylon,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 98,0,Mary Larson (write-in),Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 99,26803,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 99,26251,Cindi Duchow,Republican
TREMPEALEAU COUNTY DISTRICT ATTORNEY,12061,Total Votes,NA
TREMPEALEAU COUNTY DISTRICT ATTORNEY,5668,Rick Niemeier,Republican
TREMPEALEAU COUNTY DISTRICT ATTORNEY,6375,John H. Sacia,Democrat
