contest_name,reporting_unit_id,hindi,ru_order,county,muni,reporting_unit_name,congressional_district,senate_district,assembly_district,jay_schroeder_rep,doug_la_follette_dem,brad_karas_write_in_wgr,scattering,race
SECRETARY OF STATE,145301,7028,1,BURNETT,Town of SCOTT,Town of SCOTT Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 73,210,181,0,0,secretary of state
SECRETARY OF STATE,143441,7030,1,BURNETT,Town of SIREN,Town of SIREN Wards 1-2,Congressional - District 7,State Senate - District 10,Assembly - District 28,301,169,0,0,secretary of state
SECRETARY OF STATE,143456,7032,1,BURNETT,Town of SWISS,Town of SWISS Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 73,167,179,0,0,secretary of state
SECRETARY OF STATE,146202,7034,1,BURNETT,Town of TRADE LAKE,Town of TRADE LAKE Wards 1-2,Congressional - District 7,State Senate - District 10,Assembly - District 28,287,161,0,0,secretary of state
SECRETARY OF STATE,146203,7036,1,BURNETT,Town of UNION,Town of UNION Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 73,109,77,0,0,secretary of state
SECRETARY OF STATE,145324,7038,1,BURNETT,Town of WEBB LAKE,Town of WEBB LAKE Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 73,134,111,0,0,secretary of state
SECRETARY OF STATE,145328,7040,1,BURNETT,Town of WEST MARSHLAND,Town of WEST MARSHLAND Wards 1-2,Congressional - District 7,State Senate - District 10,Assembly - District 28,121,45,0,0,secretary of state
SECRETARY OF STATE,146216,7042,1,BURNETT,Town of WOOD RIVER,Town of WOOD RIVER Wards 1-3,Congressional - District 7,State Senate - District 10,Assembly - District 28,320,128,0,0,secretary of state
SECRETARY OF STATE,145180,7131,1,BURNETT,Village of GRANTSBURG,Village of GRANTSBURG Wards 1-3,Congressional - District 7,State Senate - District 10,Assembly - District 28,305,183,0,0,secretary of state
SECRETARY OF STATE,142995,7181,1,BURNETT,Village of SIREN,Village of SIREN Wards 1-2,Congressional - District 7,State Senate - District 10,Assembly - District 28,193,123,0,0,secretary of state
SECRETARY OF STATE,145812,7191,1,BURNETT,Village of WEBSTER,Village of WEBSTER Wards 1-2,Congressional - District 7,State Senate - District 10,Assembly - District 28,146,104,0,0,secretary of state
SECRETARY OF STATE,145261,8002,1,CALUMET,Town of BRILLION,Town of BRILLION Wards 1-2,Congressional - District 8,State Senate - District 1,Assembly - District 3,485,216,0,0,secretary of state
SECRETARY OF STATE,143411,8004,1,CALUMET,Town of BROTHERTOWN,Town of BROTHERTOWN Wards 1-2,Congressional - District 8,State Senate - District 20,Assembly - District 59,435,181,0,0,secretary of state
SECRETARY OF STATE,145273,8006,1,CALUMET,Town of CHARLESTOWN,Town of CHARLESTOWN Ward 1,Congressional - District 8,State Senate - District 9,Assembly - District 25,276,119,0,0,secretary of state
SECRETARY OF STATE,146192,8008,1,CALUMET,Town of CHILTON,Town of CHILTON Wards 1-3,Congressional - District 8,State Senate - District 9,Assembly - District 25,376,164,0,0,secretary of state
SECRETARY OF STATE,145618,8010,10,CALUMET,Town of HARRISON,Town of HARRISON Ward 10,Congressional - District 8,State Senate - District 1,Assembly - District 3,0,0,0,0,secretary of state
SECRETARY OF STATE,146171,8012,1,CALUMET,Town of NEW HOLSTEIN,Town of NEW HOLSTEIN Wards 1-3,Congressional - District 8,State Senate - District 20,Assembly - District 59,495,223,0,0,secretary of state
SECRETARY OF STATE,143145,8014,1,CALUMET,Town of RANTOUL,Town of RANTOUL Ward 1,Congressional - District 8,State Senate - District 9,Assembly - District 25,256,98,0,0,secretary of state
SECRETARY OF STATE,146172,8016,1,CALUMET,Town of STOCKBRIDGE,Town of STOCKBRIDGE Wards 1-3,Congressional - District 8,State Senate - District 1,Assembly - District 3,508,259,0,0,secretary of state
SECRETARY OF STATE,144334,8018,1,CALUMET,Town of WOODVILLE,Town of WOODVILLE Ward 1,Congressional - District 8,State Senate - District 1,Assembly - District 3,307,139,0,0,secretary of state
SECRETARY OF STATE,144848,8131,3,CALUMET,Village of HARRISON,Village of HARRISON Wards 3-4,Congressional - District 8,State Senate - District 1,Assembly - District 3,561,401,0,0,secretary of state
SECRETARY OF STATE,144847,8131,5,CALUMET,Village of HARRISON,"Village of HARRISON Wards 5-6,10",Congressional - District 8,State Senate - District 1,Assembly - District 3,598,456,0,0,secretary of state
SECRETARY OF STATE,143896,8131,7,CALUMET,Village of HARRISON,"Village of HARRISON Wards 7-9,14",Congressional - District 8,State Senate - District 1,Assembly - District 3,591,436,1,0,secretary of state
SECRETARY OF STATE,143901,8131,11,CALUMET,Village of HARRISON,Village of HARRISON Wards 11-13,Congressional - District 8,State Senate - District 1,Assembly - District 3,886,614,0,0,secretary of state
SECRETARY OF STATE,143897,8131,15,CALUMET,Village of HARRISON,Village of HARRISON Ward 15,Congressional - District 8,State Senate - District 1,Assembly - District 3,115,47,0,0,secretary of state
SECRETARY OF STATE,143898,8131,16,CALUMET,Village of HARRISON,Village of HARRISON Ward 16,Congressional - District 8,State Senate - District 1,Assembly - District 3,173,105,0,0,secretary of state
SECRETARY OF STATE,144849,8131,17,CALUMET,Village of HARRISON,Village of HARRISON Ward 17,Congressional - District 8,State Senate - District 1,Assembly - District 3,32,46,0,0,secretary of state
SECRETARY OF STATE,143900,8131,18,CALUMET,Village of HARRISON,Village of HARRISON Ward 18,Congressional - District 8,State Senate - District 1,Assembly - District 3,265,221,0,0,secretary of state
SECRETARY OF STATE,145564,8136,1,CALUMET,Village of HILBERT,Village of HILBERT Wards 1-2,Congressional - District 8,State Senate - District 9,Assembly - District 25,308,145,0,0,secretary of state
SECRETARY OF STATE,144349,8136,3,CALUMET,Village of HILBERT,Village of HILBERT Ward 3,Congressional - District 8,State Senate - District 1,Assembly - District 3,0,0,0,0,secretary of state
SECRETARY OF STATE,145272,8160,1,CALUMET,Village of POTTER,Village of POTTER Ward 1,Congressional - District 8,State Senate - District 9,Assembly - District 25,90,33,0,0,secretary of state
SECRETARY OF STATE,143760,8179,1,CALUMET,Village of SHERWOOD,Village of SHERWOOD Wards 1-5,Congressional - District 8,State Senate - District 1,Assembly - District 3,989,705,0,0,secretary of state
SECRETARY OF STATE,145271,8181,1,CALUMET,Village of STOCKBRIDGE,Village of STOCKBRIDGE Ward 1,Congressional - District 8,State Senate - District 1,Assembly - District 3,192,125,0,0,secretary of state
SECRETARY OF STATE,146445,8201,12,CALUMET,CITY OF APPLETON,CITY OF APPLETON Ward 12,Congressional - District 8,State Senate - District 1,Assembly - District 3,152,166,0,0,secretary of state
SECRETARY OF STATE,146446,8201,13,CALUMET,CITY OF APPLETON,CITY OF APPLETON Ward 13,Congressional - District 8,State Senate - District 1,Assembly - District 3,343,444,0,0,secretary of state
SECRETARY OF STATE,146447,8201,14,CALUMET,CITY OF APPLETON,CITY OF APPLETON Ward 14,Congressional - District 8,State Senate - District 1,Assembly - District 3,349,378,0,0,secretary of state
SECRETARY OF STATE,146593,8201,26,CALUMET,CITY OF APPLETON,CITY OF APPLETON Ward 26,Congressional - District 8,State Senate - District 1,Assembly - District 3,435,465,0,0,secretary of state
SECRETARY OF STATE,146441,8201,44,CALUMET,CITY OF APPLETON,CITY OF APPLETON Ward 44,Congressional - District 8,State Senate - District 1,Assembly - District 3,428,477,0,0,secretary of state
SECRETARY OF STATE,146442,8201,45,CALUMET,CITY OF APPLETON,CITY OF APPLETON Ward 45,Congressional - District 8,State Senate - District 1,Assembly - District 3,556,598,0,0,secretary of state
SECRETARY OF STATE,146443,8201,46,CALUMET,CITY OF APPLETON,CITY OF APPLETON Ward 46,Congressional - District 8,State Senate - District 1,Assembly - District 3,51,46,0,0,secretary of state
SECRETARY OF STATE,146444,8201,47,CALUMET,CITY OF APPLETON,CITY OF APPLETON Ward 47,Congressional - District 8,State Senate - District 1,Assembly - District 3,0,0,0,0,secretary of state
SECRETARY OF STATE,143471,8206,1,CALUMET,City of BRILLION,City of BRILLION Wards 1-4,Congressional - District 8,State Senate - District 1,Assembly - District 3,785,517,0,0,secretary of state
SECRETARY OF STATE,143196,8211,1,CALUMET,City of CHILTON,City of CHILTON Wards 1-5,Congressional - District 8,State Senate - District 9,Assembly - District 25,850,584,0,0,secretary of state
SECRETARY OF STATE,144841,8231,11,CALUMET,CITY OF KAUKAUNA,CITY OF KAUKAUNA Ward 11,Congressional - District 8,State Senate - District 1,Assembly - District 3,0,0,0,0,secretary of state
SECRETARY OF STATE,145819,8241,7,CALUMET,CITY OF KIEL,CITY OF KIEL Ward 7,Congressional - District 8,State Senate - District 9,Assembly - District 27,69,51,0,0,secretary of state
SECRETARY OF STATE,145081,8251,16,CALUMET,CITY OF MENASHA,CITY OF MENASHA Wards 16-20,Congressional - District 8,State Senate - District 1,Assembly - District 3,726,693,0,0,secretary of state
SECRETARY OF STATE,145829,8261,1,CALUMET,City of NEW HOLSTEIN,City of NEW HOLSTEIN Wards 1-5,Congressional - District 8,State Senate - District 20,Assembly - District 59,775,606,0,0,secretary of state
SECRETARY OF STATE,146163,9002,1,CHIPPEWA,Town of ANSON,Town of ANSON Wards 1-3,Congressional - District 7,State Senate - District 23,Assembly - District 67,691,491,0,0,secretary of state
SECRETARY OF STATE,146164,9002,1,CHIPPEWA,Town of ANSON,Town of ANSON Ward 4,Congressional - District 3,State Senate - District 23,Assembly - District 67,2,2,0,0,secretary of state
SECRETARY OF STATE,142996,9004,1,CHIPPEWA,Town of ARTHUR,Town of ARTHUR Ward 1,Congressional - District 7,State Senate - District 23,Assembly - District 67,184,105,0,0,secretary of state
SECRETARY OF STATE,145823,9006,1,CHIPPEWA,Town of AUBURN,Town of AUBURN Ward 1,Congressional - District 7,State Senate - District 23,Assembly - District 67,193,119,0,0,secretary of state
SECRETARY OF STATE,144875,9008,1,CHIPPEWA,Town of BIRCH CREEK,Town of BIRCH CREEK Ward 1,Congressional - District 7,State Senate - District 23,Assembly - District 67,153,120,0,0,secretary of state
SECRETARY OF STATE,146166,9010,1,CHIPPEWA,Town of BLOOMER,Town of BLOOMER Wards 1-2,Congressional - District 7,State Senate - District 23,Assembly - District 67,310,160,0,0,secretary of state
SECRETARY OF STATE,144891,9012,1,CHIPPEWA,Town of CLEVELAND,Town of CLEVELAND Ward 1,Congressional - District 7,State Senate - District 23,Assembly - District 67,259,137,0,0,secretary of state
SECRETARY OF STATE,143042,9014,1,CHIPPEWA,Town of COLBURN,Town of COLBURN Ward 1,Congressional - District 7,State Senate - District 23,Assembly - District 67,245,115,0,0,secretary of state
SECRETARY OF STATE,145841,9016,1,CHIPPEWA,Town of COOKS VALLEY,Town of COOKS VALLEY Ward 1,Congressional - District 7,State Senate - District 23,Assembly - District 67,200,122,0,0,secretary of state
SECRETARY OF STATE,143008,9018,1,CHIPPEWA,Town of DELMAR,Town of DELMAR Ward 1,Congressional - District 7,State Senate - District 23,Assembly - District 67,223,158,0,0,secretary of state
SECRETARY OF STATE,145856,9020,1,CHIPPEWA,Town of EAGLE POINT,Town of EAGLE POINT Wards 1-5,Congressional - District 7,State Senate - District 23,Assembly - District 67,869,678,0,0,secretary of state
SECRETARY OF STATE,143065,9022,1,CHIPPEWA,Town of EDSON,Town of EDSON Wards 1-2,Congressional - District 3,State Senate - District 23,Assembly - District 68,199,163,0,0,secretary of state
SECRETARY OF STATE,145855,9024,1,CHIPPEWA,Town of ESTELLA,Town of ESTELLA Ward 1,Congressional - District 7,State Senate - District 23,Assembly - District 67,137,51,0,0,secretary of state
SECRETARY OF STATE,145209,9026,1,CHIPPEWA,Town of GOETZ,Town of GOETZ Wards 1-2,Congressional - District 3,State Senate - District 23,Assembly - District 67,188,165,0,0,secretary of state
SECRETARY OF STATE,145208,9026,2,CHIPPEWA,Town of GOETZ,Town of GOETZ Ward 3,Congressional - District 7,State Senate - District 23,Assembly - District 67,5,6,0,0,secretary of state
SECRETARY OF STATE,145860,9028,1,CHIPPEWA,Town of HALLIE,Town of HALLIE Ward 1,Congressional - District 3,State Senate - District 23,Assembly - District 68,43,58,0,0,secretary of state
SECRETARY OF STATE,144899,9032,1,CHIPPEWA,Town of HOWARD,Town of HOWARD Ward 1,Congressional - District 3,State Senate - District 23,Assembly - District 67,194,177,0,0,secretary of state
SECRETARY OF STATE,143713,9034,1,CHIPPEWA,Town of LAFAYETTE,Town of LAFAYETTE Wards 1-9,Congressional - District 3,State Senate - District 23,Assembly - District 68,1585,1476,0,0,secretary of state
SECRETARY OF STATE,143067,9035,1,CHIPPEWA,Town of LAKE HOLCOMBE,Town of LAKE HOLCOMBE Wards 1-2,Congressional - District 7,State Senate - District 23,Assembly - District 67,305,182,0,0,secretary of state
SECRETARY OF STATE,146165,9036,1,CHIPPEWA,Town of RUBY,Town of RUBY Ward 1,Congressional - District 7,State Senate - District 23,Assembly - District 67,115,59,0,0,secretary of state
SECRETARY OF STATE,145882,9038,1,CHIPPEWA,Town of SAMPSON,Town of SAMPSON Ward 1,Congressional - District 7,State Senate - District 23,Assembly - District 67,302,154,0,0,secretary of state
SECRETARY OF STATE,143109,9040,1,CHIPPEWA,Town of SIGEL,Town of SIGEL Wards 1-2,Congressional - District 3,State Senate - District 23,Assembly - District 68,242,204,0,0,secretary of state
SECRETARY OF STATE,143157,9042,1,CHIPPEWA,Town of TILDEN,Town of TILDEN Wards 1-3,Congressional - District 7,State Senate - District 23,Assembly - District 67,451,317,0,0,secretary of state
SECRETARY OF STATE,145903,9044,1,CHIPPEWA,Town of WHEATON,Town of WHEATON Wards 1-3,Congressional - District 3,State Senate - District 23,Assembly - District 67,729,611,0,0,secretary of state
SECRETARY OF STATE,143195,9046,1,CHIPPEWA,Town of WOODMOHR,Town of WOODMOHR Wards 1-2,Congressional - District 7,State Senate - District 23,Assembly - District 67,325,178,0,0,secretary of state
SECRETARY OF STATE,145989,9106,1,CHIPPEWA,Village of BOYD,Village of BOYD Ward 1,Congressional - District 3,State Senate - District 23,Assembly - District 68,113,100,0,0,secretary of state
SECRETARY OF STATE,143170,9111,1,CHIPPEWA,Village of CADOTT,Village of CADOTT Wards 1-3,Congressional - District 3,State Senate - District 23,Assembly - District 67,264,268,0,0,secretary of state
SECRETARY OF STATE,146133,9128,1,CHIPPEWA,Village of LAKE HALLIE,Village of LAKE HALLIE Wards 1-8,Congressional - District 3,State Senate - District 23,Assembly - District 68,1536,1425,0,0,secretary of state
SECRETARY OF STATE,146089,9161,1,CHIPPEWA,Village of NEW AUBURN,Village of NEW AUBURN Ward 1,Congressional - District 7,State Senate - District 23,Assembly - District 67,106,68,0,0,secretary of state
SECRETARY OF STATE,145150,9206,1,CHIPPEWA,City of BLOOMER,City of BLOOMER Wards 1-4,Congressional - District 7,State Senate - District 23,Assembly - District 67,902,571,0,0,secretary of state
SECRETARY OF STATE,145050,9211,1,CHIPPEWA,City of CHIPPEWA FALLS,City of CHIPPEWA FALLS Ward 1,Congressional - District 3,State Senate - District 23,Assembly - District 67,343,382,0,0,secretary of state
SECRETARY OF STATE,145052,9211,2,CHIPPEWA,City of CHIPPEWA FALLS,City of CHIPPEWA FALLS Ward 2,Congressional - District 3,State Senate - District 23,Assembly - District 67,426,481,0,0,secretary of state
SECRETARY OF STATE,145053,9211,3,CHIPPEWA,City of CHIPPEWA FALLS,City of CHIPPEWA FALLS Ward 3,Congressional - District 3,State Senate - District 23,Assembly - District 67,452,505,0,0,secretary of state
SECRETARY OF STATE,145054,9211,3,CHIPPEWA,City of CHIPPEWA FALLS,City of CHIPPEWA FALLS Ward 3A,Congressional - District 3,State Senate - District 23,Assembly - District 67,1,0,0,0,secretary of state
SECRETARY OF STATE,146665,9211,3,CHIPPEWA,City of CHIPPEWA FALLS,City of CHIPPEWA FALLS Ward 3B,Congressional - District 3,State Senate - District 23,Assembly - District 67,0,0,0,0,secretary of state
SECRETARY OF STATE,145055,9211,4,CHIPPEWA,City of CHIPPEWA FALLS,City of CHIPPEWA FALLS Ward 4,Congressional - District 3,State Senate - District 23,Assembly - District 67,259,411,0,0,secretary of state
SECRETARY OF STATE,145051,9211,5,CHIPPEWA,City of CHIPPEWA FALLS,City of CHIPPEWA FALLS Ward 5,Congressional - District 3,State Senate - District 23,Assembly - District 67,301,428,0,0,secretary of state
SECRETARY OF STATE,145056,9211,6,CHIPPEWA,City of CHIPPEWA FALLS,City of CHIPPEWA FALLS Ward 6,Congressional - District 3,State Senate - District 23,Assembly - District 67,312,384,0,0,secretary of state
SECRETARY OF STATE,145057,9211,7,CHIPPEWA,City of CHIPPEWA FALLS,City of CHIPPEWA FALLS Ward 7,Congressional - District 3,State Senate - District 23,Assembly - District 67,371,449,0,0,secretary of state
SECRETARY OF STATE,145058,9211,7,CHIPPEWA,City of CHIPPEWA FALLS,City of CHIPPEWA FALLS Ward 7A,Congressional - District 3,State Senate - District 23,Assembly - District 68,0,0,0,0,secretary of state
SECRETARY OF STATE,146137,9213,1,CHIPPEWA,City of CORNELL,City of CORNELL Wards 1-4,Congressional - District 7,State Senate - District 23,Assembly - District 67,303,210,0,0,secretary of state
SECRETARY OF STATE,144139,9221,16,CHIPPEWA,CITY OF EAU CLAIRE,CITY OF EAU CLAIRE Ward 16,Congressional - District 3,State Senate - District 23,Assembly - District 68,342,453,0,0,secretary of state
SECRETARY OF STATE,144140,9221,40,CHIPPEWA,CITY OF EAU CLAIRE,CITY OF EAU CLAIRE Ward 40,Congressional - District 3,State Senate - District 31,Assembly - District 91,0,0,0,0,secretary of state
SECRETARY OF STATE,144177,9221,41,CHIPPEWA,CITY OF EAU CLAIRE,CITY OF EAU CLAIRE Ward 41,Congressional - District 3,State Senate - District 31,Assembly - District 91,34,54,0,0,secretary of state
SECRETARY OF STATE,146193,9281,1,CHIPPEWA,City of STANLEY,"City of STANLEY Wards 1-4,6-7",Congressional - District 7,State Senate - District 23,Assembly - District 68,393,332,0,0,secretary of state
SECRETARY OF STATE,145844,10002,1,CLARK,Town of BEAVER,Town of BEAVER Ward 1,Congressional - District 7,State Senate - District 23,Assembly - District 69,147,81,0,0,secretary of state
SECRETARY OF STATE,143024,10004,1,CLARK,Town of BUTLER,Town of BUTLER Ward 1,Congressional - District 7,State Senate - District 23,Assembly - District 68,30,18,0,0,secretary of state
SECRETARY OF STATE,145845,10006,1,CLARK,Town of COLBY,Town of COLBY Wards 1-3,Congressional - District 7,State Senate - District 23,Assembly - District 69,146,85,0,0,secretary of state
SECRETARY OF STATE,143161,10008,1,CLARK,Town of DEWHURST,Town of DEWHURST Ward 1,Congressional - District 7,State Senate - District 23,Assembly - District 69,117,72,0,0,secretary of state
SECRETARY OF STATE,144921,10010,1,CLARK,Town of EATON,Town of EATON Wards 1-2,Congressional - District 7,State Senate - District 23,Assembly - District 68,149,79,0,0,secretary of state
SECRETARY OF STATE,143118,10012,1,CLARK,Town of FOSTER,Town of FOSTER Ward 1,Congressional - District 7,State Senate - District 23,Assembly - District 68,45,24,0,0,secretary of state
SECRETARY OF STATE,145917,10014,1,CLARK,Town of FREMONT,Town of FREMONT Wards 1-2,Congressional - District 7,State Senate - District 23,Assembly - District 69,285,134,0,0,secretary of state
SECRETARY OF STATE,143182,10016,1,CLARK,Town of GRANT,Town of GRANT Wards 1-2,Congressional - District 7,State Senate - District 23,Assembly - District 69,195,116,0,0,secretary of state
SECRETARY OF STATE,144977,10018,1,CLARK,Town of GREEN GROVE,Town of GREEN GROVE Wards 1-2,Congressional - District 7,State Senate - District 23,Assembly - District 69,113,59,0,0,secretary of state
SECRETARY OF STATE,143241,10020,1,CLARK,Town of HENDREN,Town of HENDREN Ward 1,Congressional - District 7,State Senate - District 23,Assembly - District 68,91,80,0,0,secretary of state
SECRETARY OF STATE,144989,10022,1,CLARK,Town of HEWETT,Town of HEWETT Wards 1-2,Congressional - District 7,State Senate - District 23,Assembly - District 69,86,68,0,0,secretary of state
SECRETARY OF STATE,146017,10024,1,CLARK,Town of HIXON,Town of HIXON Wards 1-2,Congressional - District 7,State Senate - District 23,Assembly - District 68,105,74,0,0,secretary of state
SECRETARY OF STATE,143606,10026,1,CLARK,Town of HOARD,Town of HOARD Wards 1-2,Congressional - District 7,State Senate - District 23,Assembly - District 69,127,54,0,0,secretary of state
SECRETARY OF STATE,146144,10028,1,CLARK,Town of LEVIS,Town of LEVIS Wards 1-2,Congressional - District 7,State Senate - District 23,Assembly - District 69,134,81,0,0,secretary of state
SECRETARY OF STATE,145075,10030,1,CLARK,Town of LONGWOOD,Town of LONGWOOD Wards 1-2,Congressional - District 7,State Senate - District 23,Assembly - District 68,109,76,0,0,secretary of state
SECRETARY OF STATE,145088,10032,1,CLARK,Town of LOYAL,Town of LOYAL Wards 1-2,Congressional - District 7,State Senate - District 23,Assembly - District 69,144,75,0,0,secretary of state
SECRETARY OF STATE,145110,10034,1,CLARK,Town of LYNN,Town of LYNN Wards 1-2,Congressional - District 7,State Senate - District 23,Assembly - District 69,151,77,0,0,secretary of state
SECRETARY OF STATE,143400,10036,1,CLARK,Town of MAYVILLE,Town of MAYVILLE Wards 1-2,Congressional - District 7,State Senate - District 23,Assembly - District 69,202,80,1,0,secretary of state
SECRETARY OF STATE,146177,10038,1,CLARK,Town of MEAD,Town of MEAD Ward 1,Congressional - District 7,State Senate - District 23,Assembly - District 68,69,43,0,0,secretary of state
SECRETARY OF STATE,143453,10040,1,CLARK,Town of MENTOR,Town of MENTOR Ward 1,Congressional - District 7,State Senate - District 23,Assembly - District 68,104,91,0,0,secretary of state
SECRETARY OF STATE,143463,10042,1,CLARK,Town of PINE VALLEY,Town of PINE VALLEY Wards 1-2,Congressional - District 7,State Senate - District 23,Assembly - District 69,304,209,0,0,secretary of state
SECRETARY OF STATE,145330,10044,1,CLARK,Town of RESEBURG,Town of RESEBURG Wards 1-2,Congressional - District 7,State Senate - District 23,Assembly - District 68,65,78,0,0,secretary of state
SECRETARY OF STATE,146222,10046,1,CLARK,Town of SEIF,Town of SEIF Ward 1,Congressional - District 7,State Senate - District 23,Assembly - District 68,40,49,0,0,secretary of state
SECRETARY OF STATE,146223,10048,1,CLARK,Town of SHERMAN,Town of SHERMAN Wards 1-2,Congressional - District 7,State Senate - District 23,Assembly - District 69,184,82,0,0,secretary of state
SECRETARY OF STATE,143472,10050,1,CLARK,Town of SHERWOOD,Town of SHERWOOD Ward 1,Congressional - District 7,State Senate - District 23,Assembly - District 69,61,69,0,0,secretary of state
SECRETARY OF STATE,146232,10052,1,CLARK,Town of THORP,Town of THORP Ward 1,Congressional - District 7,State Senate - District 29,Assembly - District 87,154,93,0,0,secretary of state
SECRETARY OF STATE,146241,10054,1,CLARK,Town of UNITY,Town of UNITY Ward 1,Congressional - District 7,State Senate - District 23,Assembly - District 69,161,87,0,0,secretary of state
SECRETARY OF STATE,146243,10056,1,CLARK,Town of WARNER,Town of WARNER Wards 1-2,Congressional - District 7,State Senate - District 23,Assembly - District 68,127,67,0,0,secretary of state
SECRETARY OF STATE,143515,10058,1,CLARK,Town of WASHBURN,Town of WASHBURN Ward 1,Congressional - District 7,State Senate - District 23,Assembly - District 69,83,44,0,0,secretary of state
SECRETARY OF STATE,146264,10060,1,CLARK,Town of WESTON,Town of WESTON Wards 1-2,Congressional - District 7,State Senate - District 23,Assembly - District 69,150,110,0,0,secretary of state
SECRETARY OF STATE,146273,10062,1,CLARK,Town of WITHEE,Town of WITHEE Ward 1,Congressional - District 7,State Senate - District 23,Assembly - District 68,166,100,0,0,secretary of state
SECRETARY OF STATE,145376,10064,1,CLARK,Town of WORDEN,Town of WORDEN Ward 1,Congressional - District 7,State Senate - District 23,Assembly - District 68,141,72,0,0,secretary of state
SECRETARY OF STATE,145458,10066,1,CLARK,Town of YORK,Town of YORK Wards 1-2,Congressional - District 7,State Senate - District 23,Assembly - District 69,161,119,0,0,secretary of state
SECRETARY OF STATE,146316,10111,1,CLARK,Village of CURTISS,Village of CURTISS Ward 1,Congressional - District 7,State Senate - District 23,Assembly - District 69,34,7,0,0,secretary of state
SECRETARY OF STATE,145474,10116,1,CLARK,Village of DORCHESTER,Village of DORCHESTER Ward 1,Congressional - District 7,State Senate - District 23,Assembly - District 69,152,80,0,0,secretary of state
SECRETARY OF STATE,143624,10131,1,CLARK,Village of GRANTON,Village of GRANTON Ward 1,Congressional - District 7,State Senate - District 23,Assembly - District 69,79,67,1,0,secretary of state
SECRETARY OF STATE,145472,10186,1,CLARK,VILLAGE OF UNITY,VILLAGE OF UNITY Ward 2,Congressional - District 7,State Senate - District 23,Assembly - District 69,28,15,0,0,secretary of state
SECRETARY OF STATE,143629,10191,1,CLARK,Village of WITHEE,Village of WITHEE Ward 1,Congressional - District 7,State Senate - District 23,Assembly - District 68,114,91,0,0,secretary of state
SECRETARY OF STATE,144373,10201,2,CLARK,City of ABBOTSFORD,"City of ABBOTSFORD Wards 2-5,7",Congressional - District 7,State Senate - District 23,Assembly - District 69,319,212,0,0,secretary of state
SECRETARY OF STATE,143033,10211,2,CLARK,City of COLBY,City of COLBY Wards 2-4,Congressional - District 7,State Senate - District 23,Assembly - District 69,269,166,0,0,secretary of state
SECRETARY OF STATE,143478,10231,1,CLARK,City of GREENWOOD,City of GREENWOOD Wards 1-2,Congressional - District 7,State Senate - District 23,Assembly - District 68,205,196,0,0,secretary of state
SECRETARY OF STATE,143560,10246,1,CLARK,City of LOYAL,City of LOYAL Wards 1-2,Congressional - District 7,State Senate - District 23,Assembly - District 69,280,198,0,0,secretary of state
SECRETARY OF STATE,145491,10261,1,CLARK,City of NEILLSVILLE,City of NEILLSVILLE Ward 1,Congressional - District 7,State Senate - District 23,Assembly - District 69,99,90,0,0,secretary of state
SECRETARY OF STATE,145492,10261,2,CLARK,City of NEILLSVILLE,City of NEILLSVILLE Ward 2,Congressional - District 7,State Senate - District 23,Assembly - District 69,111,112,0,0,secretary of state
SECRETARY OF STATE,145493,10261,3,CLARK,City of NEILLSVILLE,City of NEILLSVILLE Ward 3,Congressional - District 7,State Senate - District 23,Assembly - District 69,105,148,0,0,secretary of state
SECRETARY OF STATE,145494,10261,4,CLARK,City of NEILLSVILLE,City of NEILLSVILLE Ward 4,Congressional - District 7,State Senate - District 23,Assembly - District 69,79,65,0,0,secretary of state
SECRETARY OF STATE,145495,10261,5,CLARK,City of NEILLSVILLE,City of NEILLSVILLE Ward 5,Congressional - District 7,State Senate - District 23,Assembly - District 69,46,50,0,0,secretary of state
SECRETARY OF STATE,143563,10265,1,CLARK,City of OWEN,City of OWEN Wards 1-3,Congressional - District 7,State Senate - District 23,Assembly - District 69,183,187,0,0,secretary of state
SECRETARY OF STATE,146194,10281,5,CLARK,CITY OF STANLEY,CITY OF STANLEY Ward 5,Congressional - District 7,State Senate - District 23,Assembly - District 68,0,2,0,0,secretary of state
SECRETARY OF STATE,146195,10281,8,CLARK,CITY OF STANLEY,CITY OF STANLEY Ward 8,Congressional - District 7,State Senate - District 29,Assembly - District 87,0,0,0,0,secretary of state
SECRETARY OF STATE,146272,10286,1,CLARK,City of THORP,City of THORP Wards 1-4,Congressional - District 7,State Senate - District 23,Assembly - District 68,337,267,0,1,secretary of state
SECRETARY OF STATE,144869,11002,1,COLUMBIA,Town of ARLINGTON,Town of ARLINGTON Ward 1,Congressional - District 6,State Senate - District 14,Assembly - District 42,208,228,0,0,secretary of state
SECRETARY OF STATE,144913,11004,1,COLUMBIA,Town of CALEDONIA,Town of CALEDONIA Wards 1-2,Congressional - District 6,State Senate - District 27,Assembly - District 81,349,488,0,1,secretary of state
SECRETARY OF STATE,143744,11006,1,COLUMBIA,Town of COLUMBUS,Town of COLUMBUS Ward 1,Congressional - District 6,State Senate - District 14,Assembly - District 42,191,139,0,0,secretary of state
SECRETARY OF STATE,144126,11008,1,COLUMBIA,Town of COURTLAND,Town of COURTLAND Ward 1,Congressional - District 6,State Senate - District 14,Assembly - District 42,155,75,0,0,secretary of state
