assembly_district,gov_dem,gov_rep,gov_total,ag_dem,ag_rep,ag_total,sos_dem,sos_rep,sos_total,trs_dem,trs_rep,trs_total,uss_dem,uss_rep,uss_total,wsa_total,wsa_dem,wsa_rep,Independent,Libertarian,Constitution
65,12107,6663,19493,11873,6854,19175,12457,6593,19067,12090,6190,18824,13055,6210,19303,14931,14456,0,0,0,0
66,12542,4922,18016,12374,4890,17757,12996,4639,17666,12676,4419,17578,13433,4454,17922,14896,14450,0,0,0,0
67,10851,14840,26219,10491,14649,25876,11466,14198,25664,10906,14128,25649,12664,13416,26081,25848,9878,15970,0,0,0
68,11005,13361,24889,10883,13083,24626,11821,12518,24345,11275,12376,24301,12839,11923,24775,24533,10394,14129,0,0,0
69,8239,13983,22624,8284,13477,22279,9223,12817,22045,8495,12715,21918,10183,12269,22459,18905,1576,17257,0,0,0
7,13411,9064,23062,13117,9070,22748,14117,8269,22413,13525,8096,22261,14637,8212,22908,19400,15187,0,0,3953,0
70,10132,14073,24722,9997,13812,24369,10909,13284,24210,10265,13004,24018,11956,12640,24626,24273,9223,15027,0,0,0
71,15123,12297,28188,15030,12281,27851,15905,11586,27518,15326,11222,27299,16769,11252,28062,21022,20548,0,0,0,0
72,10702,14904,26095,10503,14674,25686,11375,14190,25575,10807,13920,25402,12385,13577,25983,25773,10992,14773,0,0,0
73,13775,11088,25488,13863,10898,25267,14142,10986,25140,13929,10648,25050,14831,10451,25294,19094,18510,16,0,0,0
74,14710,13234,28509,14667,12885,28018,15500,12579,28086,15006,12354,27878,16355,12029,28394,28022,15738,12276,0,0,0
75,9763,13962,24121,9608,13719,23832,10188,13577,23771,9757,13467,23753,10992,13003,24006,24004,9078,14925,0,0,0
76,35264,4830,41023,34879,5191,40581,34944,5177,40259,34368,5141,40117,36220,4718,41020,37478,36891,0,0,0,0
77,28660,3935,33148,28296,4229,32851,28331,4158,32551,28017,3963,32473,29370,3765,33180,29741,29347,0,0,0,0
78,28142,7431,36293,27580,7939,35944,28023,7552,35624,27407,7397,35438,29120,7025,36191,30639,30044,0,0,0,0
79,24542,12239,37315,23804,12809,37011,24568,12042,36640,23676,12032,36343,25804,11375,37218,28776,28079,0,0,0,0
8,7677,1447,9382,7604,1391,9215,7653,1389,9055,7645,1263,9123,8042,1283,9336,9038,7384,1639,0,0,0
80,22863,11145,34708,22106,11728,34360,23004,11016,34045,21956,11001,33707,24002,10529,34570,26808,26189,0,0,0,0
81,15761,10893,27244,15017,11400,26952,15977,10758,26741,15005,10738,26417,16808,10316,27134,20038,19766,0,0,0,0
82,12494,16765,29688,12385,16538,29315,13657,15231,28910,12894,15069,28487,14460,14976,29470,26538,0,18039,0,8300,0
83,9692,22718,32839,9470,22693,32542,10506,21656,32177,9892,21407,31880,11401,21195,32632,31998,9624,22351,0,0,0
84,12309,16909,29713,12042,16891,29382,13323,15666,29018,12580,15621,28749,14085,15430,29567,29047,12341,16684,0,0,0
85,11364,13263,25231,11451,13120,25040,12397,12331,24751,11995,12066,24674,13328,11788,25146,24962,11150,13791,0,0,0
86,10528,18086,29088,10563,17819,28815,11650,16822,28490,11079,16585,28343,12875,16010,28915,28717,10575,17174,945,0,0
87,8260,15389,24078,8261,14920,23685,9170,14317,23499,8542,14298,23386,10163,13673,23855,23719,8027,15682,0,0,0
88,12909,14350,27808,12763,14334,27540,13648,13571,27234,13070,13370,27139,14655,12968,27654,27440,12793,14628,0,0,0
89,9470,15971,25909,9429,15714,25648,10170,15228,25411,9650,15069,25326,11150,14590,25759,25565,8461,17091,0,0,0
9,10502,3447,14264,10236,3441,14011,10647,3098,13768,10548,3003,13877,11120,3052,14209,11692,11453,0,0,0,0
90,10350,6813,17847,10368,6730,17634,10949,6453,17425,10518,6160,17384,11549,6145,17745,13487,12994,0,0,0,0
91,16749,9665,27156,16492,9607,26804,17066,9437,26537,16802,9004,26539,18160,8853,27062,26347,17512,8798,0,0,0
92,10489,12712,23694,10424,12217,23261,11464,11681,23155,10962,11477,23074,12630,10888,23530,23499,10537,12955,0,0,0
93,11979,15092,27706,11966,14795,27435,12528,14701,27242,12258,14240,27184,13782,13785,27581,27381,11435,15935,0,0,0
94,14253,14520,29403,14138,14238,28998,14978,13719,28697,14328,13498,28546,16375,12939,29314,29065,17498,11567,0,0,0
95,17850,9017,27678,17579,9119,27289,18082,8944,27026,17515,8629,26896,19356,8221,27577,21989,21989,0,0,0,0
96,11548,12054,24046,11332,11798,23706,12235,11352,23593,11606,11312,23492,13339,10532,23878,23866,11536,12327,0,0,0
97,10494,15831,26817,10028,16061,26532,11172,14959,26156,10573,14805,25988,11888,14674,26603,19729,0,18945,0,0,0
98,10566,20187,31218,10296,20202,30934,11404,19105,30530,10824,18902,30300,12333,18647,31022,23689,0,23005,0,0,0
99,9209,24214,33783,9055,24042,33498,9987,23099,33106,9372,22914,32814,10805,22733,33572,26803,0,26251,0,0,0
