county,muni,reporting_unit_name,congressional_district,senate_district,assembly_district,scott_walker_rebecca_kleefisch_rep,tony_evers_mandela_barnes_dem,phillip_anderson_patrick_baird_lib,michael_j_white_tiffany_anderson_wgr,maggie_turnbull_wil_losch_ind,arnie_enz_no_candidate_ind,ryan_cason_write_in_no_candidate_rep,paul_boucher_write_in_no_candidate_dem,mark_s_grimek_write_in_no_candidate_con,jared_william_landry_write_in_no_candidate_dem,robbie_hoffman_write_in_no_candidate_ind,richard_michael_turtenwald_write_in_no_candidate_ind,no_candidate_corban_gehler_write_in_dem,no_candidate_william_henry_davis_iii_write_in_dem,scattering,race
ASHLAND,Town of LA POINTE,Town of LA POINTE Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,54,192,1,4,2,0,0,0,0,0,0,0,0,0,0,governor
ASHLAND,Town of MARENGO,Town of MARENGO Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 74,90,113,2,0,0,1,0,0,0,0,0,0,0,0,0,governor
ASHLAND,Town of MORSE,Town of MORSE Wards 1-3,Congressional - District 7,State Senate - District 25,Assembly - District 74,113,134,0,1,1,1,0,0,0,0,0,0,0,0,0,governor
ASHLAND,Town of PEEKSVILLE,Town of PEEKSVILLE Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 74,43,30,0,0,3,0,0,0,0,0,0,0,0,0,1,governor
ASHLAND,Town of SANBORN,Town of SANBORN Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 74,66,371,1,5,7,1,0,0,0,0,0,0,0,0,0,governor
ASHLAND,Town of SHANAGOLDEN,Town of SHANAGOLDEN Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,30,33,0,1,1,0,0,0,0,0,0,0,0,0,0,governor
ASHLAND,Town of WHITE RIVER,Town of WHITE RIVER Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 74,266,139,2,2,6,0,0,0,0,0,0,0,0,0,0,governor
ASHLAND,Village of BUTTERNUT,Village of BUTTERNUT Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 74,62,71,1,1,0,0,0,0,0,0,0,0,0,0,0,governor
ASHLAND,City of ASHLAND,City of ASHLAND Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,205,188,2,1,3,0,0,0,0,0,0,0,0,0,0,governor
ASHLAND,City of ASHLAND,City of ASHLAND Ward 2,Congressional - District 7,State Senate - District 25,Assembly - District 74,59,146,3,2,6,1,0,0,0,0,0,0,0,0,0,governor
ASHLAND,City of ASHLAND,City of ASHLAND Ward 3,Congressional - District 7,State Senate - District 25,Assembly - District 74,86,170,0,1,2,0,0,0,0,0,0,0,0,0,0,governor
ASHLAND,City of ASHLAND,City of ASHLAND Ward 4,Congressional - District 7,State Senate - District 25,Assembly - District 74,123,264,4,0,3,0,0,0,0,0,0,0,0,0,0,governor
ASHLAND,City of ASHLAND,City of ASHLAND Ward 5,Congressional - District 7,State Senate - District 25,Assembly - District 74,78,272,5,1,1,0,0,0,0,0,0,0,0,0,0,governor
ASHLAND,City of ASHLAND,City of ASHLAND Ward 6,Congressional - District 7,State Senate - District 25,Assembly - District 74,61,177,6,6,1,0,0,0,0,0,0,0,0,0,0,governor
ASHLAND,City of ASHLAND,City of ASHLAND Ward 7,Congressional - District 7,State Senate - District 25,Assembly - District 74,84,290,1,4,2,2,0,0,0,0,0,0,0,0,0,governor
ASHLAND,City of ASHLAND,City of ASHLAND Ward 8,Congressional - District 7,State Senate - District 25,Assembly - District 74,82,199,2,5,0,0,0,0,0,0,0,0,0,0,0,governor
ASHLAND,City of ASHLAND,City of ASHLAND Ward 9,Congressional - District 7,State Senate - District 25,Assembly - District 74,58,168,5,3,2,1,0,0,0,0,0,0,0,0,0,governor
ASHLAND,City of ASHLAND,City of ASHLAND Ward 10,Congressional - District 7,State Senate - District 25,Assembly - District 74,86,183,1,2,2,0,0,0,0,0,0,0,0,0,0,governor
